"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"2278","a38a9162-5445-4322-9fe7-21ec91508ec7","Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu","1920-04-01","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000288811","7770003104","","305","","","http://www.ump.edu.pl","info@ump.edu.pl","+48 61 854 6000","/UMPPOZNAN/skrytka","Polska","wielkopolskie","ul. Aleksandra Fredry","10","61-701","Poznań","Andrzej Tykarski - Rektor","",,,,,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu","1920-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","1920-04-01","Działająca","1920-04-01","akademicka","1920-04-01","ul. Aleksandra Fredry 10, 61-701 Poznań, woj. wielkopolskie, Polska","1920-04-01"
"2279","18711a61-b8cc-4cb5-97c3-893045eff81e","Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu","1950-01-01","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000288981","8960005779","","308","","","http://www.umw.edu.pl","rektor@umw.edu.pl","71 784 10 01","/umedwroc/SkrytkaESP ","Polska","dolnośląskie","wyb. Ludwika Pasteura","1","50-367","Wrocław","Piotr Paweł Ponikowski - Rektor","f6c5d92e-1558-4931-85d4-3558e8358a70",,,,,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu","2012-08-25",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","1950-01-01","Działająca","1950-01-01","akademicka","1950-01-01","wyb. Ludwika Pasteura 1, 50-367 Wrocław, woj. dolnośląskie, Polska","1950-01-01"
"2280","18711a61-b8cc-4cb5-97c3-893045eff81e","Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu","1950-01-01","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000288981","8960005779","","308","","","http://www.umw.edu.pl","rektor@umw.edu.pl","71 784 10 01","/umedwroc/SkrytkaESP ","Polska","dolnośląskie","wyb. Ludwika Pasteura","1","50-367","Wrocław","Piotr Paweł Ponikowski - Rektor","f6c5d92e-1558-4931-85d4-3558e8358a70",,,,,"Akademia Medyczna im. Piastów Śląskich we Wrocławiu","1950-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","1950-01-01","Działająca","1950-01-01","akademicka","1950-01-01","wyb. Ludwika Pasteura 1, 50-367 Wrocław, woj. dolnośląskie, Polska","1950-01-01"
"2281","7f12f268-786f-4504-9a3a-44afff1ba65c","Uniwersytet Medyczny w Białymstoku","1950-02-03","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000288604","5420211717","","300","","","http://www.umb.edu.pl","rektor@umb.edu.pl","85 748-54-03","/UniwersytetMedycznyBial/SkrytkaESP","Polska","podlaskie","ul. Jana Kilińskiego","1","15-089","Białystok","Adam Krętowski - Rektor","f25c5c45-1008-4cb1-9944-2df93a8f213c",,,,,"Uniwersytet Medyczny w Białymstoku","1950-02-03",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","1950-02-03","Działająca","1950-02-03","akademicka","1950-02-03","ul. Jana Kilińskiego 1, 15-089 Białystok, woj. podlaskie, Polska","1950-02-03"
"2282","28f45cd0-ed86-4162-baf8-d0add700e59f","Uniwersytet Medyczny w Lublinie","1950-01-01","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000288716","7120106911","","303","","","http://www.umlub.pl","biuro.rektora@umlub.pl","81 448-5000","/UMLUB/SkrytkaESP","Polska","lubelskie","ul. aleje Racławickie","1","20-059","Lublin","Wojciech Tomasz Załuska - Rektor","cb58d502-5a24-4da1-93ac-6a32148f93c2",,,,,"Uniwersytet Medyczny w Lublinie","1950-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","1950-01-01","Działająca","1950-01-01","akademicka","1950-01-01","ul. aleje Racławickie 1, 20-059 Lublin, woj. lubelskie, Polska","1950-01-01"
"2283","2072dfce-faec-4917-bcb2-9421f61fe387","Uniwersytet Medyczny w Łodzi","2002-10-01","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","473073308","7251843739","","304","","","http://www.umed.pl","rektor@umed.lodz.pl","42-272-58-03","/UMEDLodz/SkrytkaESP","Polska","łódzkie","ul. Aleja T. Kościuszki","4","90-419","Łódź","Radzisław Maciej Kordek - Rektor","9d75901d-ee11-4f35-b109-40c62f380386",,,,,"Uniwersytet Medyczny w Łodzi","2002-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2002-10-01","Działająca","2002-10-01","akademicka","2002-10-01","ul. Aleja T. Kościuszki 4, 90-419 Łódź, woj. łódzkie, Polska","2002-10-01"
"2284","3fa8a5bb-a2e7-455d-8a1e-1f71ed0d992a","Uniwersytet Mikołaja Kopernika w Toruniu","1945-08-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001324","8790177291","","249","","","http://www.umk.pl","rektor@umk.pl","+48(56)6114242","/UMKTORUN/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Jurija Gagarina","11","87-100","Toruń","Andrzej Sokala - Rektor","03a60719-e7ab-436a-b9ab-fc2de59d5ba0",,,,,"Uniwersytet Mikołaja Kopernika w Toruniu","1945-08-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1945-08-24","Działająca","1945-08-24","akademicka","1945-08-24","ul. Jurija Gagarina 11, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","1945-08-24"
"2285","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Uniwersytet Morski w Gdyni","2018-09-01","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Transportu, Budownictwa i Gospodarki Morskiej","1920-06-17","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2286","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Uniwersytet Morski w Gdyni","2018-09-01","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Infrastruktury i Rozwoju","2013-11-27","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2287","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Uniwersytet Morski w Gdyni","2018-09-01","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Gospodarki Morskiej i Żeglugi Śródlądowej","2015-11-16","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2288","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Uniwersytet Morski w Gdyni","2018-09-01","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Infrastruktury (poprzednio MiB)","2021-02-26","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2289","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Akademia Morska w Gdyni","1920-06-17","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Transportu, Budownictwa i Gospodarki Morskiej","1920-06-17","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2290","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Akademia Morska w Gdyni","1920-06-17","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Infrastruktury i Rozwoju","2013-11-27","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2291","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Akademia Morska w Gdyni","1920-06-17","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Gospodarki Morskiej i Żeglugi Śródlądowej","2015-11-16","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2292","f52e68ce-dec2-43cf-a874-16b7005d6932","Uniwersytet Morski w Gdyni","1920-06-17","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145112","5860012873","","326","","","http://www.umg.edu.pl","rektor@umg.edu.pl","+48 58 55 86 442","/AMG/SkrytkaESP","Polska","pomorskie","ul. Morska","81-87","81-225","Gdynia","Adam Weintrit - Rektor","aadd796d-3b13-4b1a-9e47-eee65bd9dac9",,,,,"Akademia Morska w Gdyni","1920-06-17","Instytut Morski w Gdańsku","97c7095f-872b-43ac-92ce-c00e3df912ff","000145069","5830003579","","","","Minister Gospodarki Morskiej i Żeglugi Śródlądowej","Włączenie","2019-10-01",,,,,,,,,,,"Minister Infrastruktury (poprzednio MiB)","2021-02-26","Działająca","1920-06-17","akademicka","1920-06-17","ul. Morska 81-87, 81-225 Gdynia, woj. pomorskie, Polska","1920-06-17"
"2293","47e86fcb-d7b4-4631-822c-b5647a72e885","Uniwersytet Muzyczny Fryderyka Chopina w Warszawie","1810-01-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275702","5250007715","","316","","","http://www.chopin.edu.pl","info@chopin.edu.pl","+48 22 8277241","/UMFC/SkrytkaESP","Polska","mazowieckie","ul. Okólnik","2","00-368","Warszawa","Klaudiusz Baran - Rektor","5ad223ab-c5be-492f-87e3-e8982069dca0",,,,,"Uniwersytet Muzyczny Fryderyka Chopina w Warszawie","1810-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1810-01-01","Działająca","1810-01-01","akademicka","1810-01-01","ul. Okólnik 2, 00-368 Warszawa, woj. mazowieckie, Polska","1810-01-01"
"2294","82d9ae49-c04f-4383-a846-9f1091a57cfa","Uniwersytet Opolski","1994-10-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001382","7540007179","","250","","","http://uni.opole.pl","sekretariat@uni.opole.pl","+48775416070","Adres skrzynki ePUAP Uniwersytetu Opolskiego: /uniopole/SkrytkaESP","Polska","opolskie","pl. Plac Mikołaja Kopernika","11A","45-040","Opole","Marek Masnyk - Rektor","8857bf9d-cdde-42c1-b525-4d35c8a2037a",,,,,"Uniwersytet Opolski","1994-10-01","Państwowa Medyczna Wyższa Szkoła Zawodowa w Opolu","953a9a01-995f-4ee1-83c3-a4c0f2564277","532391017","7542744054","","","","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2020-07-15",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1994-10-01","Działająca","1994-10-01","akademicka","1994-10-01","pl. Plac Mikołaja Kopernika 11A, 45-040 Opole, woj. opolskie, Polska","1994-10-01"
"2295","07208b1f-4d34-483a-a884-05ac93b6fcec","Uniwersytet Papieski Jana Pawła II w Krakowie","1981-12-08","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia kościelna","Nie","","","","akademicka","","003871913","6761011948","","377","","","http://upjp2.edu.pl","rektorat@upjp2.edu.pl","12 421 84 16","1.   /UPJP2/Rektorat                 2.   /UPJP2/Domyślna","Polska","małopolskie","ul. Kanonicza","25","31-002","Kraków","Robert Tyrała - Rektor","9d6f1a77-9203-4715-8ad7-665221bd43c8",,,,,"Uniwersytet Papieski Jana Pawła II w Krakowie","1981-12-08",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1981-12-08","Działająca","1981-12-08","akademicka","1981-12-08","ul. Kanonicza 25, 31-002 Kraków, woj. małopolskie, Polska","1981-12-08"
"2296","0b80a072-b734-4cd9-bf5b-6c8708b7c2f2","Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie","1946-09-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001376","6750200195","","292","","","http://www.up.krakow.pl","info@up.krakow.pl","12 6626014","/UPkrakow/skrytka","Polska","małopolskie","ul. Podchorążych","2","30-084","Kraków","Piotr Borek - Rektor","b484e626-f634-4d6b-87fc-a8ca717e21f7",,,,,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie","1946-09-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1946-09-24","Działająca","1946-09-24","akademicka","1946-09-24","ul. Podchorążych 2, 30-084 Kraków, woj. małopolskie, Polska","1946-09-24"
"2297","c2e40008-ad66-4712-8be8-e06fa7235fd2","Uniwersytet Pomorski w Słupsku","1969-06-19","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001459","8391028460","","293","","","http://www.upsl.edu.pl","rektor@upsl.edu.pl","59 84 05 930","APS69","Polska","pomorskie","ul. Krzysztofa Arciszewskiego","22a","76-200","Słupsk","Zbigniew Osadowski - Rektor","9ac25554-36de-4b5f-8667-3eca64da7f99",,,,,"Uniwersytet Pomorski w Słupsku","2023-06-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1969-06-19","Działająca","1969-06-19","akademicka","1969-06-19","ul. Krzysztofa Arciszewskiego 22a, 76-200 Słupsk, woj. pomorskie, Polska","1969-06-19"
"2298","c2e40008-ad66-4712-8be8-e06fa7235fd2","Uniwersytet Pomorski w Słupsku","1969-06-19","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001459","8391028460","","293","","","http://www.upsl.edu.pl","rektor@upsl.edu.pl","59 84 05 930","APS69","Polska","pomorskie","ul. Krzysztofa Arciszewskiego","22a","76-200","Słupsk","Zbigniew Osadowski - Rektor","9ac25554-36de-4b5f-8667-3eca64da7f99",,,,,"Akademia Pomorska w Słupsku","1969-06-19",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1969-06-19","Działająca","1969-06-19","akademicka","1969-06-19","ul. Krzysztofa Arciszewskiego 22a, 76-200 Słupsk, woj. pomorskie, Polska","1969-06-19"
"2299","dacccb40-e3e3-4113-a28e-54c4a59d550e","Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach","1969-07-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001471","8210014490","","281","","","http://www.uph.edu.pl","rektor@uph.edu.pl","25 643-19-20","/UPH/skrytka","Polska","mazowieckie","ul. Stanisława Konarskiego","2","08-110","Siedlce","Mirosław Minkina - Rektor","493d279a-2c67-4a48-a71c-390ee1843fd3",,,,,"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach","1969-07-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1969-07-29","Działająca","1969-07-29","akademicka","1969-07-29","ul. Stanisława Konarskiego 2, 08-110 Siedlce, woj. mazowieckie, Polska","1969-07-29"
"2300","70161bb7-629d-46ab-9c91-cc91851ed886","Uniwersytet Przyrodniczy we Wrocławiu","1951-11-17","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001867","8960005354","","282","","","http://www.upwr.edu.pl","rektor@upwr.edu.pl","713205101","/UPWR/SkrytkaESP","Polska","dolnośląskie","ul. Cypriana Kamila Norwida","25","50-375","Wrocław","Jarosław Bosy - Rektor","05157720-d99b-404a-ac02-40774f867fef",,,,,"Uniwersytet Przyrodniczy we Wrocławiu","1951-11-17",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1951-11-17","Działająca","1951-11-17","akademicka","1951-11-17","ul. Cypriana Kamila Norwida 25, 50-375 Wrocław, woj. dolnośląskie, Polska","1951-11-17"
"2301","bc05e3e9-35c4-47a4-be34-d13dd35fd0bf","Uniwersytet Przyrodniczy w Lublinie","1944-10-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001896","7120103775","","279","","","http://www.up.lublin.pl","biuro.rektora@up.lublin.pl","(81) 445-60-66","ePUAP:/UP-Lublin/SkrytkaESP","Polska","lubelskie","ul. Akademicka","13","20-950","Lublin","Krzysztof Kowalczyk - Rektor","e62e5a63-cc0b-44ee-9e43-d083ba22a371",,,,,"Uniwersytet Przyrodniczy w Lublinie","1944-10-23",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1944-10-23","Działająca","1944-10-23","akademicka","1944-10-23","ul. Akademicka 13, 20-950 Lublin, woj. lubelskie, Polska","1944-10-23"
"2302","154a0276-f7ef-42a3-a8d6-752e46ffd139","Uniwersytet Przyrodniczy w Poznaniu","1919-01-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001844","7770004960","","280","","","http://puls.edu.pl/","rektorat@up.poznan.pl","61-848-7001","/upwpoznaniu/SkrytkaESP","Polska","wielkopolskie","ul. Wojska Polskiego","28","60-637","Poznań","Krzysztof Szoszkiewicz - Rektor","823b4c4e-3f97-4b7f-85e0-a6ab73b3f674",,,,,"Uniwersytet Przyrodniczy w Poznaniu","1919-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1919-01-01","Działająca","1919-01-01","akademicka","1919-01-01","ul. Wojska Polskiego 28, 60-637 Poznań, woj. wielkopolskie, Polska","1919-01-01"
"2303","282be714-cb82-4078-850e-810d7003cb31","Uniwersytet Radomski im. Kazimierza Pułaskiego","1950-01-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000805181","7960106439","","272","","","http://www.uniwersytetradom.pl","rektor@uthrad.pl","(48) 361-70-10","/PRad/skrytkaESP","Polska","mazowieckie","ul. Jacka Malczewskiego","29","26-600","Radom","Sławomir Bukowski - Rektor","2af2e5ab-0789-4f37-bf84-0f7c3f0b2d68",,,,,"Uniwersytet Radomski im. Kazimierza Pułaskiego","2023-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1950-01-13","Działająca","1950-01-13","akademicka","1950-01-13","ul. Jacka Malczewskiego 29, 26-600 Radom, woj. mazowieckie, Polska","1950-01-13"
"2304","282be714-cb82-4078-850e-810d7003cb31","Uniwersytet Radomski im. Kazimierza Pułaskiego","1950-01-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000805181","7960106439","","272","","","http://www.uniwersytetradom.pl","rektor@uthrad.pl","(48) 361-70-10","/PRad/skrytkaESP","Polska","mazowieckie","ul. Jacka Malczewskiego","29","26-600","Radom","Sławomir Bukowski - Rektor","2af2e5ab-0789-4f37-bf84-0f7c3f0b2d68",,,,,"Politechnika Radomska im. Kazimierza Pułaskiego","1950-01-13",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1950-01-13","Działająca","1950-01-13","akademicka","1950-01-13","ul. Jacka Malczewskiego 29, 26-600 Radom, woj. mazowieckie, Polska","1950-01-13"
"2305","282be714-cb82-4078-850e-810d7003cb31","Uniwersytet Radomski im. Kazimierza Pułaskiego","1950-01-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000805181","7960106439","","272","","","http://www.uniwersytetradom.pl","rektor@uthrad.pl","(48) 361-70-10","/PRad/skrytkaESP","Polska","mazowieckie","ul. Jacka Malczewskiego","29","26-600","Radom","Sławomir Bukowski - Rektor","2af2e5ab-0789-4f37-bf84-0f7c3f0b2d68",,,,,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu","2012-09-12",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1950-01-13","Działająca","1950-01-13","akademicka","1950-01-13","ul. Jacka Malczewskiego 29, 26-600 Radom, woj. mazowieckie, Polska","1950-01-13"
"2306","becb0b4c-82d4-43a3-8673-2e07bf987463","Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","1953-09-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001815","6750002118","","278","","","https://urk.edu.pl/","rector@urk.edu.pl","12 662 42 51","/URKRAKOW/skrytka ","Polska","małopolskie","al. Aleja Adama Mickiewicza","21","31-120","Kraków","Sylwester Tabor - Rektor","30f66894-52eb-4c15-85db-bf9d54c34158",,,,,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","1953-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1953-09-01","Działająca","1953-09-01","akademicka","1953-09-01","al. Aleja Adama Mickiewicza 21, 31-120 Kraków, woj. małopolskie, Polska","1953-09-01"
"2307","50d13b6e-9320-4240-898f-6aca15728a1f","Uniwersytet Rzeszowski","2001-09-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","691560040","8133238822","","257","","","http://www.ur.edu.pl","info@ur.edu.pl","178721000","/URzeszow/SkrytkaESP","Polska","podkarpackie","al. Tadeusza Rejtana","16c","35-959","Rzeszów","Sylwester Czopek - Rektor","781cea4e-7189-44b9-a7ff-d2450dc472fc",,,,,"Uniwersytet Rzeszowski","2001-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-09-01","Działająca","2001-09-01","akademicka","2001-09-01","al. Tadeusza Rejtana 16c, 35-959 Rzeszów, woj. podkarpackie, Polska","2001-09-01"
